"parcela";"irr";"npv"
200;0,0966314372756854;322152,983043096
400;0,0829530109091911;-339195,208872232
600;0,068873085012125;-1000543,40078756
800;0,0541318017165358;-1661891,59270289
1000;0,0382349797954538;-2323239,78461821
1200;0,020359944799557;-2984587,97653354
1400;-Inf;-3645936,16844887
1600;-Inf;-4307284,3603642
1800;-Inf;-4968632,55227952
2000;-Inf;-5629980,74419485
